qid,domain,type,answer,num_cards,num_supported,num_refuted,num_unknown,stop_reason,retrieval_quality,total_tokens,gold,correct,wrong_reason_guess
fc_a_001,financial_contracts,multi,AD,20,2,2,0,round1_resolved,,7721,AB,wrong,possible_reasoning_error
fc_a_002,financial_contracts,multi,ABD,20,3,1,0,round1_resolved,,6706,ABD,correct,possible_reasoning_error
fc_a_003,financial_contracts,tf,B,22,1,0,0,two_round_a_leaderboard,,11232,A,wrong,possible_reasoning_error
fc_a_004,financial_contracts,multi,AD,20,2,2,0,round1_resolved,,10531,A,wrong,possible_reasoning_error
fc_a_005,financial_contracts,multi,ABD,20,3,1,0,round1_resolved,,8446,ABD,correct,possible_reasoning_error
fc_a_006,financial_contracts,tf,A,20,1,1,0,round1_resolved,,5231,A,correct,answer_fallback
fc_a_007,financial_contracts,multi,BD,26,2,2,0,two_round_a_leaderboard,,11079,B,wrong,possible_reasoning_error
fc_a_008,financial_contracts,mcq,B,26,1,3,0,two_round_a_leaderboard,,12044,B,correct,possible_reasoning_error
fc_a_009,financial_contracts,multi,ABD,20,3,1,0,round1_resolved,,9109,ABD,correct,possible_reasoning_error
fc_a_010,financial_contracts,tf,A,20,1,1,0,round1_resolved,,5996,A,correct,answer_fallback
fc_a_011,financial_contracts,multi,ABD,20,3,1,0,round1_resolved,,7561,AB,wrong,possible_reasoning_error
fc_a_012,financial_contracts,multi,ACD,26,3,0,0,two_round_a_leaderboard,,15621,AC,wrong,possible_reasoning_error
fc_a_013,financial_contracts,tf,B,20,1,1,0,round1_resolved,,7775,B,correct,possible_reasoning_error
fc_a_014,financial_contracts,multi,A,28,1,1,0,two_round_a_leaderboard,,15448,AB,wrong,answer_fallback
fc_a_015,financial_contracts,mcq,B,33,1,3,0,two_round_a_leaderboard,,16942,B,correct,possible_reasoning_error
fc_a_016,financial_contracts,multi,ABC,29,3,0,0,two_round_a_leaderboard,,14568,BC,wrong,possible_reasoning_error
fc_a_017,financial_contracts,multi,D,22,1,2,0,two_round_a_leaderboard,,11518,AD,wrong,possible_reasoning_error
fc_a_018,financial_contracts,tf,A,22,0,0,0,review_local_rejudge_a_leaderboard,,18665,B,wrong,answer_fallback
fc_a_019,financial_contracts,multi,B,30,1,2,0,two_round_a_leaderboard,,16477,B,correct,possible_reasoning_error
fc_a_020,financial_contracts,multi,AB,24,2,1,0,two_round_a_leaderboard,,12019,ABD,wrong,possible_reasoning_error
fin_a_001,financial_reports,multi,AB,20,2,2,0,round1_resolved,,9454,AB,correct,possible_reasoning_error
