qid,domain,answer_format,answer,primary_stage,stop_reason,supported_count,unknown_count,evidence_count,dup_evidence_slots,non_original_quotes,retrieval_quality,missing_gold_docs
fc_a_001,financial_contracts,multi,AD,ok,round1_resolved,0,0,20,0,0,,"text01,text02"
fc_a_002,financial_contracts,multi,ABD,ok,round1_resolved,0,0,20,0,0,,"text01,text14"
fc_a_003,financial_contracts,tf,B,ok,two_round_a_leaderboard,0,0,22,0,0,,"text01,text03"
fc_a_004,financial_contracts,multi,AD,parse_or_chunk,round1_resolved,0,0,20,0,0,,"text01,text13"
fc_a_005,financial_contracts,multi,ABD,ok,round1_resolved,0,0,20,0,0,,"text01,text10"
fc_a_006,financial_contracts,tf,A,ok,round1_resolved,0,0,20,0,0,,"text01,text04"
fc_a_007,financial_contracts,multi,BD,ok,two_round_a_leaderboard,0,0,26,0,0,,"text02,text14"
fc_a_008,financial_contracts,mcq,B,ok,two_round_a_leaderboard,0,0,26,0,0,,"text02,text03"
fc_a_009,financial_contracts,multi,ABD,parse_or_chunk,round1_resolved,0,0,20,0,0,,"text02,text10"
fc_a_010,financial_contracts,tf,A,ok,round1_resolved,0,0,20,0,0,,"text02,text06"
fc_a_011,financial_contracts,multi,ABD,parse_or_chunk,round1_resolved,0,0,20,0,0,,"text02,text07"
fc_a_012,financial_contracts,multi,ACD,ok,two_round_a_leaderboard,0,0,26,0,0,,"text03,text13"
fc_a_013,financial_contracts,tf,B,ok,round1_resolved,0,0,20,0,0,,"text03,text10"
fc_a_014,financial_contracts,multi,A,ok,two_round_a_leaderboard,0,0,28,0,0,,"text03,text08"
fc_a_015,financial_contracts,mcq,B,parse_or_chunk,two_round_a_leaderboard,0,0,33,0,0,,"text03,text14"
fc_a_016,financial_contracts,multi,ABC,ok,two_round_a_leaderboard,0,0,29,0,0,,"text04,text09"
fc_a_017,financial_contracts,multi,D,ok,two_round_a_leaderboard,0,0,22,0,0,,"text04,text05"
fc_a_018,financial_contracts,tf,A,ok,review_local_rejudge_a_leaderboard,0,0,22,0,0,,"text04,text06"
fc_a_019,financial_contracts,multi,B,ok,two_round_a_leaderboard,0,0,30,0,0,,"text04,text07"
fc_a_020,financial_contracts,multi,AB,ok,two_round_a_leaderboard,0,0,24,0,0,,"text04,text11"
fin_a_001,financial_reports,multi,AB,ok,round1_resolved,0,0,20,0,0,,"annual_byd_2024_report,annual_byd_2025_report"
fin_a_002,financial_reports,multi,ABD,ok,round1_resolved,0,0,20,0,0,,"annual_catl_2024_report,annual_catl_2025_report"
fin_a_003,financial_reports,tf,A,ok,round1_resolved,0,0,20,0,0,,"annual_cscec_2024_report,annual_cscec_2025_report"
fin_a_004,financial_reports,multi,BD,judgement,two_round_a_leaderboard,0,0,25,0,0,,"annual_midea_2024_report,annual_midea_2025_report"
fin_a_005,financial_reports,multi,AB,ok,two_round_a_leaderboard,0,0,21,0,0,,"annual_byd_2024_report,annual_midea_2024_report"
fin_a_006,financial_reports,tf,A,ok,round1_resolved,0,0,20,0,0,,"annual_byd_2024_report,annual_midea_2025_report"
fin_a_007,financial_reports,multi,ABD,ok,round1_resolved,0,0,20,0,0,,"annual_byd_2024_report,annual_catl_2025_report"
fin_a_008,financial_reports,mcq,A,judgement,two_round_a_leaderboard,0,0,31,0,0,,"annual_byd_2024_report,annual_catl_2024_report"
fin_a_009,financial_reports,multi,ABC,ok,two_round_a_leaderboard,0,0,30,0,0,,"annual_byd_2024_report,annual_chinamobile_2025_report"
fin_a_010,financial_reports,tf,A,ok,two_round_a_leaderboard,0,0,20,0,0,,"annual_byd_2025_report,annual_midea_2024_report"
fin_a_011,financial_reports,multi,ACD,judgement,two_round_a_leaderboard,0,0,24,0,0,,"annual_byd_2025_report,annual_midea_2025_report"
